категория,CLIENT_ID,fin_segment,first_prod_ddateid,first_prod,age,gender,cnt_zp,cnt_open_zp,cnt_deb,cnt_open_deb,rest_debet_card,rest_safe,cnt_cc,cnt_cc_with_lim,rest_cc_limit,cnt_csf,cnt_active_csf,rest_csf_start,cnt_pil,cnt_active_pil,rest_pil_start,cnt_depo,cnt_active_depo,rest_depo_now,cnt_cash,cnt_pos,cnt_easy_installment,flg_currency
не оформили PIL,12232,2,20180606,ZP,40,M,1,1,0,0,"6,667.89",0.00,1,1,19600,0,0,0,0,0,0,0,0,0,14,24,0,Нет
не оформили PIL,12233,1,20180606,CC,34,F,1,1,0,0,2.38,0.00,1,1,9600,0,0,0,0,0,0,0,0,0,25,41,0,Нет
не оформили PIL,12234,2,20180606,ZP,33,M,2,2,0,0,"5,002.31",0.00,1,1,22200,0,0,0,0,0,0,0,0,0,33,4,0,Нет
не оформили PIL,12235,1,20180606,CC,30,M,0,0,0,0,0.00,0.00,1,1,21200,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12236,1,20180606,CC,30,F,1,1,0,0,"1,068.63",0.00,1,1,8000,0,0,0,0,0,0,0,0,0,16,3,0,Нет
не оформили PIL,12237,2,20180606,ZP,24,F,1,1,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
оформили PIL,12238,2,20180503,ZP,26,F,1,1,0,0,772.23,0.00,2,1,10500,3,1,"9,999",2,1,54810,0,0,0,11,51,0,Нет
оформили PIL,12239,2,20180420,CC,55,M,0,0,0,0,0.00,0.00,3,1,3000,0,0,0,3,2,352250,0,0,0,3,0,0,Нет
оформили PIL,12240,0,20180420,CC,68,F,0,0,2,2,"2,081.70",0.00,4,1,5000,0,0,0,3,1,30000,0,0,0,6,0,0,Нет
оформили PIL,12241,2,20180420,CSF,26,M,0,0,0,0,0.00,0.00,1,1,14750,1,0,0,1,1,64250,0,0,0,0,0,0,Нет
оформили PIL,12242,0,20180420,PIL,38,M,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,50000,0,0,0,0,0,0,Нет
не оформили PIL,12243,1,20180607,PIL,62,M,0,0,0,0,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12244,2,20180607,ZP,61,M,1,1,0,0,"5,694.24",0.00,1,1,11900,0,0,0,0,0,0,0,0,0,6,30,0,Нет
не оформили PIL,12245,0,20180607,CC,35,F,0,0,0,0,0.00,0.00,1,1,12000,0,0,0,0,0,0,0,0,0,0,8,0,Нет
